Municipio,Poblacion_Total,Año
Ibagué,543949,2022
Espinal,71383,2022
Chaparral,51005,2022
Melgar,42511,2022
Honda,27954,2022
Líbano,37028,2022
Mariquita,32654,2022
Purificación,28094,2022
Guamo,29580,2022
Natagaima,27750,2022
Municipio,Poblacion_Total,Año
Flandes,30919,2022
Coyaima,32570,2022
Ortega,29990,2022
Cajamarca,20700,2022
Rovira,18152,2022
Icononzo,11607,2022
Fresno,22190,2022
Rioblanco,21312,2022
Planadas,27870,2022
Saldaña,18371,2022
Municipio,Poblacion_Total,Año
Alpujarra,4481,2022
Alvarado,8432,2022
Anzoátegui,6089,2022
Casabianca,7412,2022
Dolores,6068,2022
Herveo,8849,2022
Murillo,4164,2022
Palocabildo,7469,2022
Piedras,6645,2022
Santa Isabel,6790,2022
